N,d,sigma,weight_decay,e_in_mean,e_out_mean,e_bias
2,0,0.01,0.0,0.23065479955473722,0.8004375541495868,0.4838984700531394
2,0,0.01,0.1,0.2459270650359128,0.7916430809202539,0.5072407648732514
2,0,0.1,0.0,0.2615741710609241,0.79733799809448,0.5156267703155764
2,0,0.1,0.1,0.25890435256985567,0.7805224806204889,0.5643629356001256
2,0,1,0.0,0.5848632227492058,2.357038722280474,1.441748445338949
2,0,1,0.1,0.5662936838783363,2.005875190139075,1.5727095413825682
2,1,0.01,0.0,0.00796180309791074,1.9394551607847383,0.8045838095419131
2,1,0.01,0.1,0.09459679682056651,0.857209592375854,0.5496829769842775
2,1,0.1,0.0,0.006089284140311613,2.084345477579169,0.9782647153643782
2,1,0.1,0.1,0.06240959734213477,0.9160621369188193,0.6273084151816108
2,1,1,0.0,0.033705175316732706,4.679724877857374,1.6039131724912878
2,1,1,0.1,0.16751376152705158,2.6626114912846957,1.605565867314981
2,2,0.01,0.0,0.0038649576017310444,2.0707988684461114,0.7782744296467098
2,2,0.01,0.1,0.03734092712820804,0.88735986989869,0.5011381080954026
2,2,0.1,0.0,0.005019253921414288,2.393052453947102,0.8117815331009604
2,2,0.1,0.1,0.04840388093503949,1.0445250472364083,0.5631463116228336
2,2,1,0.0,0.007705054391636303,7.088647729472624,2.5948877038539173
2,2,1,0.1,0.12038374850769977,3.6457639509508057,1.6962963769899715
2,3,0.01,0.0,0.0012717814911890827,1.6534684022439727,0.5299055901718837
2,3,0.01,0.1,0.04082181835317499,1.1491008758437262,0.5741009928328378
2,3,0.1,0.0,0.0013829420325008781,2.76891847519627,1.07122478920907
2,3,0.1,0.1,0.0319627404429681,1.1094149302791512,0.6960425800423397
2,3,1,0.0,0.004499943117504263,5.1545127926927865,1.5447541086495649
2,3,1,0.1,0.11451320579718163,3.5769798541006876,1.6384874290626747
2,4,0.01,0.0,0.002522050379531228,2.271048091772235,0.8410953001947878
