rnn_type,hidden_state,dropout,num_layers,bidirectional,best_epoch,train_loss,test_loss,accuracy
vanilla,20,0,1,False,4,0.141557,0.378109,85.42
vanilla,20,0,1,True,3,0.209282,0.345211,86.45
vanilla,20,0,2,False,4,0.141341,0.395486,84.91
vanilla,20,0,2,True,2,0.2159,0.300794,87.64
vanilla,20,0.2,1,False,4,0.210789,0.378851,84.88
vanilla,20,0.2,1,True,3,0.217808,0.351094,86.33
vanilla,20,0.2,2,False,3,0.2143,0.351778,85.7
vanilla,20,0.2,2,True,4,0.149791,0.363068,86.76
vanilla,20,0.5,1,False,3,0.290604,0.423375,83.86
vanilla,20,0.5,1,True,4,0.221108,0.409754,86.07
vanilla,20,0.5,2,False,4,0.246554,0.403658,84.96
vanilla,20,0.5,2,True,4,0.189767,0.312822,88.41
vanilla,50,0,1,False,2,0.253866,0.330777,85.93
vanilla,50,0,1,True,3,0.172808,0.316627,87.68
vanilla,50,0,2,False,3,0.167282,0.369031,85.56
vanilla,50,0,2,True,1,0.404624,0.302325,87.91
vanilla,50,0.2,1,False,2,0.274384,0.330083,86.43
vanilla,50,0.2,1,True,4,0.168832,0.33451,86.25
vanilla,50,0.2,2,False,2,0.26032,0.324107,86.49
vanilla,50,0.2,2,True,3,0.170457,0.323532,87.64
vanilla,50,0.5,1,False,4,0.196167,0.314899,87.05
vanilla,50,0.5,1,True,4,0.188373,0.341002,87.29
vanilla,50,0.5,2,False,2,0.300715,0.357766,86.04
vanilla,50,0.5,2,True,3,0.221684,0.335865,87.39
vanilla,100,0,1,False,2,0.24311,0.315389,86.79
vanilla,100,0,1,True,3,0.189216,0.335086,86.36
vanilla,100,0,2,False,1,0.402322,0.329318,86.22
vanilla,100,0,2,True,3,0.147871,0.332051,87.16
vanilla,100,0.2,1,False,5,0.110821,0.429319,85.19
vanilla,100,0.2,1,True,3,0.180029,0.344463,86.76
vanilla,100,0.2,2,False,2,0.257454,0.341087,86.13
vanilla,100,0.2,2,True,3,0.172782,0.329386,87.16
vanilla,100,0.5,1,False,4,0.181396,0.340506,86.45
vanilla,100,0.5,1,True,5,0.152529,0.330988,87.12
vanilla,100,0.5,2,False,4,0.195317,0.347142,86.63
vanilla,100,0.5,2,True,4,0.173499,0.342928,87.45
vanilla,200,0,1,False,4,0.18896,0.355665,85.84
vanilla,200,0,1,True,,,,
vanilla,200,0,2,False,,,,
vanilla,200,0,2,True,,,,
vanilla,200,0.2,1,False,4,0.166254,0.322346,87.22
vanilla,200,0.2,1,True,,,,
vanilla,200,0.2,2,False,,,,
vanilla,200,0.2,2,True,,,,
vanilla,200,0.5,1,False,4,0.257474,0.334314,86.25
vanilla,200,0.5,1,True,,,,
vanilla,200,0.5,2,False,,,,
vanilla,200,0.5,2,True,,,,
vanilla,500,0,1,False,2,0.248805,0.318571,86.81
vanilla,500,0,1,True,,,,
vanilla,500,0,2,False,,,,
vanilla,500,0,2,True,,,,
vanilla,500,0.2,1,False,3,0.181922,0.330636,86.82
vanilla,500,0.2,1,True,,,,
vanilla,500,0.2,2,False,,,,
vanilla,500,0.2,2,True,,,,
vanilla,500,0.5,1,False,5,0.361659,0.380004,83.92
vanilla,500,0.5,1,True,,,,
vanilla,500,0.5,2,False,,,,
vanilla,500,0.5,2,True,,,,
lstm,20,0,1,False,2,0.248975,0.323392,86.67
lstm,20,0,1,True,2,0.211704,0.290012,88.33
lstm,20,0,2,False,2,0.206674,0.30997,87.13
lstm,20,0,2,True,2,0.229784,0.294465,88.1
lstm,20,0.2,1,False,2,0.249913,0.315856,86.96
lstm,20,0.2,1,True,3,0.142894,0.330578,87.7
lstm,20,0.2,2,False,3,0.137234,0.391572,85.59
lstm,20,0.2,2,True,1,0.421678,0.294401,88.32
lstm,20,0.5,1,False,3,0.230513,0.378407,86.67
lstm,20,0.5,1,True,3,0.228694,0.318895,87.61
lstm,20,0.5,2,False,2,0.284019,0.312897,87.58
lstm,20,0.5,2,True,3,0.195013,0.31564,88.68
lstm,50,0,1,False,1,0.412307,0.294131,87.79
lstm,50,0,1,True,1,0.404034,0.307051,87.87
lstm,50,0,2,False,2,0.204081,0.303916,87.8
lstm,50,0,2,True,2,0.184793,0.273165,88.88
lstm,50,0.2,1,False,2,0.219807,0.295459,88.06
lstm,50,0.2,1,True,2,0.222075,0.281271,88.44
lstm,50,0.2,2,False,1,0.415673,0.298486,87.8
lstm,50,0.2,2,True,1,0.401064,0.275062,89.03
lstm,50,0.5,1,False,2,0.25669,0.329874,88.01
lstm,50,0.5,1,True,3,0.186949,0.307993,88.26
lstm,50,0.5,2,False,2,0.255323,0.29921,88.18
lstm,50,0.5,2,True,2,0.244936,0.272757,88.92
lstm,100,0,1,False,1,0.406477,0.290919,87.99
